省,省code,市,市code,区县,区县code,废品回收,再生资源回收,旧货回收,回收站,总计
河南省,410000,商丘市,411400,夏邑县,411426,8,8,28,27,31
河南省,410000,驻马店市,411700,上蔡县,411722,14,13,29,29,31
河南省,410000,新乡市,410700,封丘县,410727,14,15,31,31,31
河南省,410000,平顶山市,410400,湛河区,410411,7,7,30,31,31
河南省,410000,漯河市,411100,临颍县,411122,5,5,29,30,30
河南省,410000,漯河市,411100,召陵区,411104,11,10,27,27,30
河南省,410000,信阳市,411500,息县,411528,5,8,27,27,30
河南省,410000,驻马店市,411700,平舆县,411723,8,11,26,26,30
河南省,410000,开封市,410200,祥符区,410212,14,14,29,28,29
河南省,410000,安阳市,410500,汤阴县,410523,17,17,29,27,29
河南省,410000,平顶山市,410400,汝州市,410482,9,10,27,26,29
河南省,410000,平顶山市,410400,叶县,410422,8,10,27,27,29
河南省,410000,南阳市,411300,西峡县,411323,14,15,28,27,28
河南省,410000,南阳市,411300,南召县,411321,5,4,26,25,28
河南省,410000,商丘市,411400,睢县,411422,8,8,27,26,28
河南省,410000,焦作市,410800,解放区,410802,2,3,25,25,27
河南省,410000,南阳市,411300,内乡县,411325,7,8,26,26,26
河南省,410000,驻马店市,411700,泌阳县,411726,8,8,26,26,26
河南省,410000,信阳市,411500,光山县,411522,12,12,25,25,25
河南省,410000,焦作市,410800,沁阳市,410882,8,9,24,24,25
河南省,410000,平顶山市,410400,鲁山县,410423,6,8,23,23,25
河南省,410000,周口市,411600,鹿邑县,411628,11,11,23,23,25
河南省,410000,洛阳市,410300,嵩县,410325,8,8,23,23,24
河南省,410000,南阳市,411300,新野县,411329,4,4,23,22,24
河南省,410000,信阳市,411500,罗山县,411521,10,11,23,23,24
河南省,410000,濮阳市,410900,范县,410926,11,12,23,22,24
河南省,410000,安阳市,410500,安阳县,410522,15,16,23,23,24
河南省,410000,洛阳市,410300,新安县,410323,8,8,23,22,23
河南省,410000,南阳市,411300,淅川县,411326,12,12,22,23,23
河南省,410000,南阳市,411300,社旗县,411327,7,8,22,22,23
河南省,410000,开封市,410200,杞县,410221,3,3,22,22,23
河南省,410000,商丘市,411400,民权县,411421,12,12,22,23,23
河南省,410000,信阳市,411500,淮滨县,411527,6,6,22,21,22
河南省,410000,濮阳市,410900,清丰县,410922,13,13,21,21,22
河南省,410000,许昌市,411000,襄城县,411025,8,8,21,21,21
河南省,410000,驻马店市,411700,新蔡县,411729,10,9,20,20,21
河南省,410000,安阳市,410500,殷都区,410505,13,13,19,20,21
河南省,410000,鹤壁市,410600,浚县,410621,9,9,17,19,20
河南省,410000,洛阳市,410300,偃师区,410307,9,10,19,19,19
河南省,410000,焦作市,410800,山阳区,410811,6,6,17,18,19
河南省,410000,驻马店市,411700,遂平县,411728,6,6,19,18,19
河南省,410000,驻马店市,411700,汝南县,411727,2,2,16,19,19
河南省,410000,驻马店市,411700,确山县,411725,6,6,19,18,19
河南省,410000,洛阳市,410300,栾川县,410324,7,7,17,16,18
河南省,410000,三门峡市,411200,卢氏县,411224,2,3,16,17,18
河南省,410000,焦作市,410800,孟州市,410883,7,8,17,16,18
河南省,410000,开封市,410200,顺河回族区,410203,7,7,17,17,18
河南省,410000,驻马店市,411700,正阳县,411724,3,4,14,17,18
河南省,410000,新乡市,410700,新乡县,410721,11,12,17,17,18
河南省,410000,南阳市,411300,桐柏县,411330,7,7,16,16,17
河南省,410000,濮阳市,410900,南乐县,410923,11,9,14,15,17
河南省,410000,驻马店市,411700,西平县,411721,4,5,16,16,17
河南省,410000,平顶山市,410400,宝丰县,410421,8,8,17,17,17
河南省,410000,郑州市,410100,上街区,410106,4,4,17,17,17
河南省,410000,周口市,411600,西华县,411622,7,9,16,16,17
河南省,410000,鹤壁市,410600,淇县,410622,9,10,15,14,16
河南省,410000,新乡市,410700,获嘉县,410724,6,6,15,15,16
河南省,410000,周口市,411600,扶沟县,411621,4,4,14,15,16
河南省,410000,洛阳市,410300,瀍河回族区,410304,4,4,14,13,15
河南省,410000,安阳市,410500,北关区,410503,2,2,14,13,15
河南省,410000,安阳市,410500,龙安区,410506,9,9,15,15,15
河南省,410000,漯河市,411100,舞阳县,411121,5,5,13,13,14
河南省,410000,焦作市,410800,温县,410825,4,5,13,13,14
河南省,410000,新乡市,410700,延津县,410726,9,9,11,11,14
河南省,410000,平顶山市,410400,郏县,410425,3,3,13,14,14
河南省,410000,洛阳市,410300,洛宁县,410328,2,3,12,11,13
河南省,410000,濮阳市,410900,台前县,410927,6,6,11,12,12
河南省,410000,焦作市,410800,中站区,410803,6,6,11,11,12
河南省,410000,焦作市,410800,博爱县,410822,10,10,12,12,12
河南省,410000,商丘市,411400,宁陵县,411423,5,5,12,11,12
河南省,410000,新乡市,410700,凤泉区,410704,7,10,10,10,12
河南省,410000,新乡市,410700,卫辉市,410781,7,7,12,12,12
河南省,410000,洛阳市,410300,汝阳县,410326,3,3,11,10,11
河南省,410000,鹤壁市,410600,山城区,410603,8,8,11,11,11
河南省,410000,平顶山市,410400,舞钢市,410481,2,2,10,9,11
河南省,410000,信阳市,411500,新县,411523,4,4,10,10,10
